current_path,proposed_release_path,workflow,status,tracked_in_initial_repository,file_size_bytes,generating_script,manuscript_use,zenodo_recommendation,recommendation_reason,dependencies,hard_coded_path_risk
code/__pycache__/stir_bayes_backend.cpython-312.pyc,code/bayes/stir_bayes_backend.cpython-312.pyc,Bayes,local-only,False,15750,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Python cache/bytecode is local and reproducible.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/m_stir_mogp_v1p8.exe,code/bayes/m_stir_mogp_v1p8.exe,Bayes,superseded,True,7741619,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/m_stir_mogp_v1p8.stan,code/bayes/m_stir_mogp_v1p8.stan,Bayes,superseded,True,15610,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,low: data/result path is consumed by scripts or manifests
code/m_stir_mogp_v2p1.exe,code/bayes/m_stir_mogp_v2p1.exe,Bayes,final,True,7786578,See workflow documentation,Bayes methods/results support,exclude,Platform-specific compiled binary; rebuild from source.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/m_stir_mogp_v2p1.stan,code/bayes/m_stir_mogp_v2p1.stan,Bayes,final,True,17497,See workflow documentation,Bayes methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p8-202603082229-1-51781a.csv,code/bayes/m_stir_mogp_v1p8-202603082229-1-51781a.csv,Bayes,superseded,False,1428322890,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p8-202603082229-2-51781a.csv,code/bayes/m_stir_mogp_v1p8-202603082229-2-51781a.csv,Bayes,superseded,False,1428325562,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p8-202603082229-3-51781a.csv,code/bayes/m_stir_mogp_v1p8-202603082229-3-51781a.csv,Bayes,superseded,False,1428363250,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p8-202603082229-4-51781a.csv,code/bayes/m_stir_mogp_v1p8-202603082229-4-51781a.csv,Bayes,superseded,False,1428435216,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p9-202603081420-1-0bd39e.csv,code/bayes/m_stir_mogp_v1p9-202603081420-1-0bd39e.csv,Bayes,superseded,False,1421438840,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p9-202603081420-2-0bd39e.csv,code/bayes/m_stir_mogp_v1p9-202603081420-2-0bd39e.csv,Bayes,superseded,False,1421453869,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p9-202603081420-3-0bd39e.csv,code/bayes/m_stir_mogp_v1p9-202603081420-3-0bd39e.csv,Bayes,superseded,False,1422455775,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v1p9-202603081420-4-0bd39e.csv,code/bayes/m_stir_mogp_v1p9-202603081420-4-0bd39e.csv,Bayes,superseded,False,1421257614,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Superseded or legacy artifact; preserve only in development history.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v2p0-202604030735-1-67b094.csv,code/bayes/m_stir_mogp_v2p0-202604030735-1-67b094.csv,Bayes,active,False,1422744173,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v2p0-202604030735-2-67b094.csv,code/bayes/m_stir_mogp_v2p0-202604030735-2-67b094.csv,Bayes,active,False,1423012954,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v2p0-202604030735-3-67b094.csv,code/bayes/m_stir_mogp_v2p0-202604030735-3-67b094.csv,Bayes,active,False,1423055284,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v2p0-202604030735-4-67b094.csv,code/bayes/m_stir_mogp_v2p0-202604030735-4-67b094.csv,Bayes,active,False,1421655564,See workflow documentation,Repository/reproducibility support or no direct manuscript use,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v2p1-202606132258-1-63793b.csv,code/bayes/m_stir_mogp_v2p1-202606132258-1-63793b.csv,Bayes,final,False,1307638058,See workflow documentation,Bayes methods/results support,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v2p1-202606132258-2-63793b.csv,code/bayes/m_stir_mogp_v2p1-202606132258-2-63793b.csv,Bayes,final,False,1307481182,See workflow documentation,Bayes methods/results support,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
code/out_cmdstanr/m_stir_mogp_v2p1-202606132258-3-63793b.csv,code/bayes/m_stir_mogp_v2p1-202606132258-3-63793b.csv,Bayes,final,False,1307754152,See workflow documentation,Bayes methods/results support,exclude,Large local CmdStan/fit object is not essential to the saved-draw release route.,See generating script and workflow README,low: data/result path is consumed by scripts or manifests
