Method,Scenario,Analyte,ComparisonTreatment,absolute_mean_kg,absolute_median_kg,absolute_lower_95_kg,absolute_upper_95_kg,n_absolute_draws,n_total_draws,n_valid_percent_draws,probability_treatment_lower_than_ct,n_invalid_percent_draws,fraction_invalid_percent_draws,definition,Median_95_interval_percent
BayesSensitivity,annual_draw_truncation_at_zero,TN,MT,2.2653292946829,2.2159503656582604,-0.8023660454312521,5.738489097439837,1500,1500,1500,0.914,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","14.28 (-5.471, 32.65)"
BayesSensitivity,annual_draw_truncation_at_zero,TN,ST,2.5734300155226504,2.4561186625277207,-0.4164119704768648,6.024019514037187,1500,1500,1500,0.9493333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","15.91 (-2.773, 34.58)"
BayesSensitivity,annual_draw_truncation_at_zero,TP,MT,-0.21728555511317316,-0.24444445266043616,-0.8753480075347827,0.5802663422018577,1500,1500,1500,0.23733333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","-15.66 (-103.2, 21.15)"
BayesSensitivity,annual_draw_truncation_at_zero,TP,ST,0.04964927335002678,0.0184510091291894,-0.5729200317663166,0.7917574823750546,1500,1500,1500,0.518,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","1.086 (-49.14, 33.05)"
BayesSensitivity,annual_draw_truncation_at_zero,TSS,MT,475.3350785111653,427.67837011631195,-210.57445820430416,1360.3604517048577,1500,1500,1500,0.906,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","19.49 (-14.36, 43.03)"
BayesSensitivity,annual_draw_truncation_at_zero,TSS,ST,629.866847381401,594.7113941880176,-21.02804646036464,1488.5631035852405,1500,1500,1500,0.9706666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","26.02 (-0.9785, 51.61)"
BayesSensitivity,raw_annual_draws_display_floor_only,TN,MT,2.2653292946829,2.2159503656582604,-0.8023660454312521,5.738489097439837,1500,1500,1500,0.914,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","14.28 (-5.471, 32.65)"
BayesSensitivity,raw_annual_draws_display_floor_only,TN,ST,2.5734300155226504,2.4561186625277207,-0.4164119704768648,6.024019514037187,1500,1500,1500,0.9493333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","15.91 (-2.773, 34.58)"
BayesSensitivity,raw_annual_draws_display_floor_only,TP,MT,-0.21728555511317316,-0.24444445266043616,-0.8753480075347827,0.5802663422018577,1500,1500,1500,0.23733333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","-15.66 (-103.2, 21.15)"
BayesSensitivity,raw_annual_draws_display_floor_only,TP,ST,0.04964927335002678,0.0184510091291894,-0.5729200317663166,0.7917574823750546,1500,1500,1500,0.518,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","1.086 (-49.14, 33.05)"
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,MT,475.3350785111653,427.67837011631195,-210.57445820430416,1360.3604517048577,1500,1500,1500,0.906,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","19.49 (-14.36, 43.03)"
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,ST,629.866847381401,594.7113941880176,-21.02804646036464,1488.5631035852405,1500,1500,1500,0.9706666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC","26.02 (-0.9785, 51.61)"
